id,team,season,games_played,wins,losses,ties,ots,points,regular_ot_wins,point_percent,goals_for,goals_allowed,shootout_win,goals_for_per_game,goals_allowed_per_game,pp_percent,pk_percent,shots_per_game,shots_allowed_per_game,faceoff_win_percent
110,Washington Capitals,2015-16,82,56,18,0,8,120,52,0.732,248,191,4,3.02,2.33,21.9,85.2,30.6,28.4,49.6
111,New Jersey Devils,2015-16,82,38,36,0,8,84,36,0.512,182,202,2,2.22,2.46,19.9,83,24.4,28.6,46.4
112,Boston Bruins,2015-16,82,42,31,0,9,93,38,0.567,236,228,4,2.88,2.78,20.5,82.2,32,30.4,50.4
113,New York Rangers,2015-16,82,46,27,0,9,101,43,0.616,233,215,3,2.84,2.62,18.6,78.2,28.5,30.4,49.2
114,Minnesota Wild,2015-16,82,38,33,0,11,87,35,0.53,213,204,3,2.6,2.49,18.5,77.9,29,28.6,52.5
115,Colorado Avalanche,2015-16,82,39,39,0,4,82,35,0.5,212,240,4,2.59,2.93,18,80.2,28.6,32.3,49.9
116,Los Angeles Kings,2015-16,82,48,28,0,6,102,46,0.622,223,192,2,2.72,2.34,20,81.4,32,27.5,50.5
117,Toronto Maple Leafs,2015-16,82,29,42,0,11,69,23,0.421,192,240,6,2.34,2.93,15.4,81.6,30.7,30.5,50.6
118,New York Islanders,2015-16,82,45,27,0,10,100,40,0.61,227,211,5,2.77,2.57,18.3,84.5,29.4,30.4,50.1
119,Pittsburgh Penguins,2015-16,82,48,26,0,8,104,44,0.634,241,199,4,2.94,2.43,18.4,84.4,33.2,29.7,50.2
120,Carolina Hurricanes,2015-16,82,35,31,0,16,86,33,0.524,196,221,2,2.39,2.7,16.8,84.3,29.9,27.6,53.7
121,Edmonton Oilers,2015-16,82,31,43,0,8,70,27,0.427,199,242,4,2.43,2.95,18.1,81.1,29.1,31.1,48.8
122,Nashville Predators,2015-16,82,41,27,0,14,96,37,0.585,224,213,4,2.73,2.6,19.7,81.2,30.6,27.3,48.7
123,Columbus Blue Jackets,2014-15,82,42,35,0,5,89,33,0.543,227,248,9,2.77,3.02,21.7,80.2,28.9,33.4,49.3
124,New York Rangers,2014-15,82,53,22,0,7,113,49,0.689,248,187,4,3.02,2.28,16.8,84.3,31.5,29.5,46.7
125,Chicago Blackhawks,2014-15,82,48,28,0,6,102,39,0.622,220,186,9,2.68,2.27,17.6,83.4,33.9,30.2,52
126,Ottawa Senators,2014-15,82,43,26,0,13,99,37,0.604,232,208,6,2.83,2.54,16.8,82.9,31,32.1,48.2
127,Boston Bruins,2014-15,82,41,27,0,14,96,37,0.585,209,201,4,2.55,2.45,17.8,82,31,29.9,53.6
128,New Jersey Devils,2014-15,82,32,36,0,14,78,27,0.476,176,209,5,2.15,2.55,19.3,80.6,24.5,30.7,47.3
129,Nashville Predators,2014-15,82,47,25,0,10,104,41,0.634,226,202,6,2.76,2.46,16.2,80.8,31.9,28.3,48.9
130,Edmonton Oilers,2014-15,82,24,44,0,14,62,19,0.378,193,276,5,2.35,3.37,17.7,76.7,28.4,30,48.2
131,Los Angeles Kings,2014-15,82,40,27,0,15,95,38,0.579,218,197,2,2.66,2.4,19,80.9,30.9,27,51.3
132,Florida Pathers,2014-15,82,38,29,0,15,91,30,0.555,198,213,8,2.41,2.6,16.3,80,30.7,29.6,48.6
133,Vancouver Canucks,2014-15,82,48,29,0,5,101,42,0.616,236,220,6,2.88,2.68,19.3,85.7,29.9,29.8,46.7
134,Anaheim Ducks,2014-15,82,51,24,0,7,109,43,0.665,228,221,8,2.78,2.7,15.7,81,30,28.9,51.6
135,Montréal Canadiens,2014-15,82,50,22,0,10,110,43,0.671,214,184,7,2.61,2.24,16.5,83.7,28.5,30.1,52.1
